timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:04:38.161072;398;0;0;12;187;0;187;0;0;197.80115908027182;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:04:40.175077;400;0;35;60;140;0;157;2;8;198.74113675339322;2;2;0;0;2;0;0;0.9937056837669661;3;3;0;0;3;0;0;1.4905585256504492
2025-11-06T16:04:42.190080;396;0;81;114;78;0;94;4;8;196.73067722628173;9;9;0;0;6;0;0;4.471151755142767;77;77;0;0;8;0;0;38.25318723844367
2025-11-06T16:04:44.204083;256;0;109;119;1;0;93;0;0;127.2288259406355;5;5;0;0;3;0;0;2.484938006653037;67;66;1;0;42;0;0;33.2981692891507
2025-11-06T16:04:46.219048;400;0;83;186;12;0;63;0;0;198.77429035695857;0;0;0;0;0;0;0;0.0;11;11;0;0;11;0;0;5.466292984816361
2025-11-06T16:04:48.232035;400;0;73;87;113;0;117;2;3;198.8344094651403;2;2;0;0;0;0;0;0.9941720473257015;2;2;0;0;2;0;0;0.9941720473257015
2025-11-06T16:04:50.244058;396;0;118;134;64;0;69;0;1;196.9366240043311;1;1;0;0;0;0;0;0.49731470708164416;15;13;2;0;3;0;1;7.459720606224662
2025-11-06T16:04:52.260044;398;0;12;84;115;0;151;0;8;197.61194034091145;51;0;51;0;51;0;4;25.32213305876001;64;12;52;0;64;0;4;31.776794426679228
2025-11-06T16:04:54.274066;400;0;0;0;200;0;200;0;0;198.73480397800904;105;0;105;0;105;0;0;52.16788604422737;95;0;95;0;95;0;0;47.19951594477715
2025-11-06T16:04:56.288098;364;0;24;72;104;0;149;11;0;180.88473281077077;51;14;37;0;47;6;0;25.343740036673925;62;26;36;0;49;5;0;30.810036907329085
2025-11-06T16:04:58.308044;278;0;72;76;63;0;139;0;8;137.75795278040877;2;2;0;0;2;0;0;0.9910644084921495;62;62;0;0;62;0;0;30.722996663256634
2025-11-06T16:05:00.323033;322;0;74;131;18;0;120;8;0;159.91417604051924;23;23;0;0;14;0;0;11.422441145751375;60;60;0;0;48;0;0;29.79767255413402
2025-11-06T16:05:02.341073;392;0;9;63;133;0;164;0;8;194.36017591353885;65;1;64;0;63;0;4;32.2280903938266;67;10;57;0;67;0;4;33.21972394440588
2025-11-06T16:05:04.384035;400;0;0;0;200;0;200;0;0;196.01591707735;109;0;109;0;109;0;0;53.414337403577875;91;0;91;0;91;0;0;44.59362113509712
2025-11-06T16:05:06.396079;400;0;0;0;200;0;200;0;0;198.9238308321447;112;0;112;0;112;0;0;55.69867263300051;88;0;88;0;88;0;0;43.76324278307183
2025-11-06T16:05:08.411775;400;0;0;0;200;0;200;0;0;198.56770814840274;116;0;116;0;116;0;0;57.584635363036796;84;0;84;0;84;0;0;41.699218711164576
2025-11-06T16:05:10.426049;400;0;0;0;200;0;200;0;0;198.97372767029873;111;0;111;0;111;0;0;55.2152094285079;89;0;89;0;89;0;0;44.27165440664147
2025-11-06T16:05:12.441080;398;0;0;0;199;0;199;0;0;197.65761376455066;107;0;107;0;107;0;0;53.13910721810784;92;0;92;0;92;0;0;45.68969966416749
2025-11-06T16:05:14.456047;392;0;36;48;144;0;152;7;0;194.69698483637583;74;6;68;0;71;4;0;36.75402264768319;90;30;60;0;65;3;0;44.70083835529037
2025-11-06T16:05:16.471043;372;0;12;39;141;0;175;0;8;184.82190086115043;12;12;0;0;9;0;0;5.961996801972595;23;23;0;0;23;0;0;11.42716053711414
